Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;199;Arsénico;7,85E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;205;Arsénico;7,73E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
FUNDACION CHILE;ESTACION EXPERIMENTAL QUILLAIPE;5441926;INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA;Otras actividades;205;Hierro / hierro disuelto;7,73E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5397140.0;689019.0
LAPOSTOLLE S A;FUNDO Y PLANTA CLOS APALTA;4636;ELABORACIÓN DE VINOS;Industria agropecuaria y silvicultura;792;Cobre;7,64E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Colchagua;Santa Cruz;19.0;6164306.0;283134.0
AGRICOLA Y PACKING CACHAPOAL S A;AGRICOLA Y PACKING CACHAPOAL S.A;322487;ELABORACIÓN Y CONSERVACIÓN DE FRUTAS, LEGUMBRES Y HORTALIZAS;Industria agropecuaria y silvicultura;373;Boro;7,52E-07;2017;DS90/2000 del MINSEGPRES;Libertador Gral. Bernardo O'Higgins;Cachapoal;Coltauco;19.0;6208177.0;313354.0
VARGAS Y VARGAS LIMITADA;TALLER DE REDES VYV LTDA;5460923;ACABADO DE PRODUCTOS TEXTIL;Industria manufacturera;624;Plomo;7,48E-07;2017;DS90/2000 del MINSEGPRES;Aysén del Gral. Carlos Ibáñez del Campo;Aisén;Aysén;18.0;4966571.0;675314.0
VARGAS Y VARGAS LIMITADA;TALLER DE REDES VYV LTDA;5460923;ACABADO DE PRODUCTOS TEXTIL;Industria manufacturera;624;Cromo hexavalente;7,48E-07;2017;DS90/2000 del MINSEGPRES;Aysén del Gral. Carlos Ibáñez del Campo;Aisén;Aysén;18.0;4966571.0;675314.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Benceno;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Tolueno / metil benceno / Toluol / Fenilmetano;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Molibdeno;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Cobre;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
