Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;819;Sulfatos;532390,32;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
EMPRESA ELECTRICA VENTANAS S.A;CENTRAL TERMOELÉCTRICA NUEVA VENTANAS;309729;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;82;Cloruros;444133,8;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373430.0;267716.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;55;Cloruros;356072,64;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;57;Cloruros;280481,6678;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;56;Cloruros;263703,3062;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
CORP NACIONAL DEL COBRE DE CHILE;CODELCO CHILE DIVISION EL TENIENTE ALHUE;4590502;EXTRACCIÓN DE COBRE.;Extracción de minerales;238;Sulfatos;216160,9156;2017;DS80/2006 del MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;Metropolitana;Melipilla;Alhué;19.0;6225415.0;298049.0
AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;84;Cloruros;193528,3046;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373424.0;267718.0
AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;83;Cloruros;132624,0432;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373424.0;267718.0
SEAFOOD RESOURCES CHILE S A;SRC;5441806;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Producción de alimentos;80;Cloruros;89298,26496;2017;DS90/2000 del MINSEGPRES;Valparaíso;Petorca;La Ligua;19.0;6429099.0;265756.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;56;Sulfatos;38335,84128;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;84;Sulfatos;31460,7744;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373424.0;267718.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;57;Sulfatos;23488,8192;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;55;Sulfatos;22176;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
AES GENER S A;CENTRAL TERMOELÉCTRICA VENTANAS UNIDADES 1 Y 2;85823;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;83;Sulfatos;20817,5616;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373424.0;267718.0
MINERA ESCONDIDA LIMITADA;PUNTA COLOSO 0;64565;CAPTACIÓN, DEPURACIÓN Y DISTRIBUCIÓN DE AGUA;Extracción de minerales;65;Sulfatos;19496,52234;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Antofagasta;19.0;7370869.0;349933.0
GRANJA MARINA TORNAGALEONES S A;PISCICULTURA DE RECIRCULACION RÍO UNIÓN;4585876;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;634;Cloruros;13705,31698;2017;DS90/2000 del MINSEGPRES;Aysén del Gral. Carlos Ibáñez del Campo;Aisén;Cisnes;18.0;5076706.0;693631.0
SALMONES MULTIEXPORT S.A.;PISCICULTURA CHAPARANO;322575;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;583;Cloruros;11757,66752;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Cochamó;18.0;5375425.0;702010.0
SEAFOOD RESOURCES CHILE S A;SRC;5441806;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Producción de alimentos;80;Sulfatos;11185,29477;2017;DS90/2000 del MINSEGPRES;Valparaíso;Petorca;La Ligua;19.0;6429099.0;265756.0
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;819;Sólidos suspendidos totales;11095,92;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
AGUAS ANDINAS S A;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL;5305;ELIMINACIÓN DE DESPERDICIOS Y AGUAS RESIDUALES, SANEAMIENTO Y ACTIVIDADES SIMILARES;Suministro y tratamiento de aguas;642-61808000-13604-80;Nitrógeno Total Kjeldahl;10686,76698;2017;DS90/2000 del MINSEGPRES;Metropolitana;Talagante;Padre Hurtado;19.0;6287232.0;329574.0
CORPESCA S A;PLANTA MEJILLONES;99599;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;48;Cloruros;9765,53028;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7445442.0;353949.0
CORP NACIONAL DEL COBRE DE CHILE;CODELCO CHILE DIVISION EL TENIENTE ALHUE;4590502;EXTRACCIÓN DE COBRE.;Extracción de minerales;238;Cloruros;8902,24544;2017;DS80/2006 del MINISTERIO SECRETARÍA GENERAL DE LA PRESIDENCIA;Metropolitana;Melipilla;Alhué;19.0;6225415.0;298049.0
MINERA CENTINELA;MUELLE CENTINELA;3489349;EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.;Extracción de minerales;66;Cloruros;6506,420335;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7477672.0;365341.0
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;196;Sulfatos;6078,336;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;196;Sólidos suspendidos totales;5437,344;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
COLBUN S A;COMPLEJO TERMOELECTRICO SANTA MARIA;5452085;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;239;Sólidos suspendidos totales;5426,920884;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5898931.0;666220.0
AES GENER S A;CENTRAL TERMOELÉCTRICA NUEVA TOCOPILLA;5441369;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;68;Sólidos suspendidos totales;4856,313503;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556098.0;375154.0
PAPELES CORDILLERA S A;SISTEMA DE TRATAMIENTO SECUNDARIO DE RILES, PLANTA PUENTE ALTO DE PAPELES CORDILLERA S.A.;5452863;FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN;Gestor de residuos;764;Sulfatos;4847,789912;2017;DS90/2000 del MINSEGPRES;Metropolitana;Cordillera;Puente Alto;19.0;6278573.0;354343.0
SOC DE INVERSIONES LAGO SOFIA LIMITADA;PISCICULTURA CHINQUIHUE;5464306;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;821;Cloruros;4533,015454;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Montt;18.0;5402767.0;664510.0
PISCICOLA HORNOPIREN S A;PISCICULTURA LOS ARRAYANES;4587862;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;621;Cloruros;4477,161464;2017;DS90/2000 del MINSEGPRES;Los Lagos;Palena;Hualaihué;18.0;5354749.0;709214.0
INDUSTRIAS ISLA QUIHUA S A;INDUSTRIAS ISLA QUIHUA SA;7047;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;185;Cloruros;4205,262684;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Lota;18.0;5892911.0;663754.0
CIA MINERA DEL PACIFICO S A;PLANTA DE PELLETS;4586095;EXTRACCIÓN DE MINERALES DE HIERRO;Extracción de minerales;881;Sulfatos;4079,286922;2017;DS90/2000 del MINSEGPRES;Atacama;Huasco;Huasco;19.0;6848483.0;279810.0
GUACOLDA ENERGIA S.A;GUACOLDA;6638;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;22;Sólidos suspendidos totales;3937,395513;2017;DS90/2000 del MINSEGPRES;Atacama;Huasco;Huasco;19.0;6848815.0;279279.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;55;Sólidos suspendidos totales;3862,32;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
CORP NACIONAL DEL COBRE DE CHILE;DIVISION ANDINA CENTRO TRATAMIENTO DE RESIDUOS;4459;EXTRACCIÓN DE COBRE.;Extracción de minerales;684;Sulfatos;3527,938383;2017;DS90/2000 del MINSEGPRES;Valparaíso;Los Andes;Los Andes;19.0;6349618.0;382560.0
GUACOLDA ENERGIA S.A;GUACOLDA;6638;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;702;Sólidos suspendidos totales;3510,98132;2017;DS90/2000 del MINSEGPRES;Atacama;Huasco;Huasco;19.0;6848815.0;279279.0
CMPC CELULOSA S A;CMPC  CELULOSA PLANTA SANTA FE;3522;FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN;Industria del papel y celulosa;453;Sulfatos;3395,306163;2017;DS90/2000 del MINSEGPRES;Biobío;Biobío;Nacimiento;18.0;5845494.0;707640.0
GUACOLDA ENERGIA S.A;GUACOLDA;6638;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;19;Sólidos suspendidos totales;3393,37152;2017;DS90/2000 del MINSEGPRES;Atacama;Huasco;Huasco;19.0;6848815.0;279279.0
EMPRESA ELECTRICA VENTANAS S.A;CENTRAL TERMOELÉCTRICA NUEVA VENTANAS;309729;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;82;Aceites y grasas;3326,4;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373430.0;267716.0
EMPRESA ELECTRICA CAMPICHE S.A.;CENTRAL TERMOELECTRICA CAMPICHE;4917485;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;237;Aceites y grasas;3326,4;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373428.0;267720.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;57;Sólidos suspendidos totales;3131,84256;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
AGUAS ANDINAS S A;PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL;5305;ELIMINACIÓN DE DESPERDICIOS Y AGUAS RESIDUALES, SANEAMIENTO Y ACTIVIDADES SIMILARES;Suministro y tratamiento de aguas;642-61808000-13604-80;Sólidos suspendidos totales;3106,034834;2017;DS90/2000 del MINSEGPRES;Metropolitana;Talagante;Padre Hurtado;19.0;6287232.0;329574.0
CMPC CELULOSA S A;CMPC CELULOSA PLANTA LAJA;3216;FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN;Industria del papel y celulosa;452;Sólidos suspendidos totales;2866,179103;2017;DS90/2000 del MINSEGPRES;Biobío;Biobío;Laja;18.0;5870977.0;702788.0
INVERMAR S.A.;PISCICULTURA LAGO VERDE;5452208;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;571;Cloruros;2796,15962;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Varas;18.0;5426244.0;711833.0
CENTRAL TERMOELECTRICA ANDINA S A;CENTRAL TERMICA ANDINA;436492;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;222;Sólidos suspendidos totales;2697,05293;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7446299.0;355799.0
ORIZON S A;PLANTA PONIENTE ORIZON;3224;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;700;Cloruros;2681,55162;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901029.0;663344.0
METHANEX CHILE SA;METHANEX CHILE S.A.;5441884;FABRICACIÓN DE SUSTANCIAS QUÍMICAS BÁSICAS, EXCEPTO ABONOS Y COMPUESTOS DE NITRÓGENO;Otras actividades;160;Sólidos suspendidos totales;2657,857752;2017;DS90/2000 del MINSEGPRES;Magallanes y de la Antártica Chilena;Magallanes;Punta Arenas;19.0;4132835.0;378210.0
GUACOLDA ENERGIA S.A;GUACOLDA;6638;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;21;Sólidos suspendidos totales;2634,546882;2017;DS90/2000 del MINSEGPRES;Atacama;Huasco;Huasco;19.0;6848815.0;279279.0
ESVAL S.A.;ESTACION ELEVADORA DE AGUAS SERVIDAS EXPRESOS VINA;4585954;ELIMINACIÓN DE DESPERDICIOS Y AGUAS RESIDUALES, SANEAMIENTO Y ACTIVIDADES SIMILARES;Gestor de residuos;30-89900400-5109-640;Sólidos suspendidos totales;2531,96858;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Viña del Mar;19.0;6347314.0;266080.0
CELULOSA ARAUCO Y CONSTITUCION S A;PLANTA LICANCEL;85016;FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN;Industria del papel y celulosa;413;Sulfatos;2494,21634;2017;DS90/2000 del MINSEGPRES;Maule;Curicó;Licantén;18.0;6124238.0;771985.0
GNL QUINTERO SA;TERMINAL MARITIMO GNL QUINTERO;5441802;"FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍAS";Combustibles;76;Sólidos suspendidos totales;2429,856;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Quintero;19.0;6370966.0;266673.0
CENTRAL TERMOELECTRICA ANDINA S A;CENTRAL TERMICA ANDINA;436492;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;221;Sólidos suspendidos totales;2426,550676;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7446299.0;355799.0
COMPANIA ELECTRICA TARAPACA S A;COMPANIA ELECTRICA TARAPACA S A.;5441768;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;217;Sólidos suspendidos totales;2409,472692;2017;DS90/2000 del MINSEGPRES;Tarapacá;Iquique;Iquique;19.0;7698915.0;375795.0
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;819;Hidrocarburos totales;2376;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
AQUAGEN CHILE S A;PISCICULTURA COMAU;5452758;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;690;Cloruros;2373,215241;2017;DS90/2000 del MINSEGPRES;Los Lagos;Palena;Chaitén;18.0;5323780.0;694734.0
CARTULINAS CMPC S A;CARTULINAS CMPC PLANTA MAULE;2886;FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN;Industria del papel y celulosa;420;Sulfatos;2224,706921;2017;DS90/2000 del MINSEGPRES;Maule;Linares;Yerbas Buenas;19.0;6056513.0;265445.0
SOC PESQUERA LANDES SOCIEDAD ANONIMA;PESQUERA LANDES ISLA ROCUANT;669;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;174;Cloruros;2201,2144;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Talcahuano;18.0;5933563.0;669341.0
GUACOLDA ENERGIA S.A;GUACOLDA;6638;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;20;Sólidos suspendidos totales;2197,612032;2017;DS90/2000 del MINSEGPRES;Atacama;Huasco;Huasco;19.0;6848815.0;279279.0
EXPORTADORA LOS FIORDOS LIMITADA;PLANTA DE PROCESO QUELLÓN;4585765;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;132;Cloruros;2173,507851;2017;DS90/2000 del MINSEGPRES;Los Lagos;Chiloé;Quellón;18.0;5225389.0;616295.0
CORPESCA S A;PLANTA SUR;3478;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;215;Cloruros;2169,185777;2017;DS90/2000 del MINSEGPRES;Tarapacá;Iquique;Iquique;19.0;7765581.0;380796.0
E.CL S.A.;CENTRAL TERMICA TOCOPILLA;5441787;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;56;Sólidos suspendidos totales;2034,99648;2017;DS90/2000 del MINSEGPRES;Antofagasta;Tocopilla;Tocopilla;19.0;7556040.0;374777.0
E.CL S.A.;CENTRAL TÉRMICA MEJILLONES;5441785;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;52;Sólidos suspendidos totales;1975,9608;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7445882.0;355392.0
ENEL GENERACION CHILE S.A.;CENTRAL TERMOELECTRICA BOCAMINA U1;5441923;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;819;Aceites y grasas;1910,304;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Coronel;18.0;5901210.0;663174.0
PISCICULTURA Y ACUICOLA AQUAPROTEC S.A.;CENTRO TRAFUN;5452369;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;704;Aceites y grasas;1896,121564;2017;DS90/2000 del MINSEGPRES;Los Ríos;Valdivia;Los Lagos;18.0;5571786.0;712325.0
CORP NACIONAL DEL COBRE DE CHILE;DIVISION ANDINA PLANTA PRODUCTOS COMERCIALES Y SALADILLO;152;EXTRACCIÓN DE COBRE.;Extracción de minerales;687;Sulfatos;1890,577566;2017;DS90/2000 del MINSEGPRES;Valparaíso;Los Andes;Los Andes;19.0;6356170.0;379645.0
CELULOSA ARAUCO Y CONSTITUCION S A;NUEVA ALDEA;85017;FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN;Industria del papel y celulosa;445;Sulfatos;1835,598477;2017;DS90/2000 del MINSEGPRES;Biobío;Ñuble;Ránquil;18.0;5939876.0;725958.0
PRODUCTORA DE AGAR S A;PROAGAR S.A.;835;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Industria manufacturera;593;Cloruros;1797,06734;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Llanquihue;18.0;5429818.0;667378.0
PRODUCTOS DEL MAR VENTISQUEROS S A;PISCICULTURA CHAQUEIHUA II;5459651;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;600;Cloruros;1770,485499;2017;DS90/2000 del MINSEGPRES;Los Lagos;Palena;Hualaihué;18.0;5355403.0;712719.0
COLBUN S A;COMPLEJO TERMOELÉCTRICO NEHUENCO;28770;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;845;Sulfatos;1724,6658;2017;DS90/2000 del MINSEGPRES;Valparaíso;Quillota;Quillota;19.0;6353249.0;282921.0
PRODUCTORA DE AGAR S A;PROAGAR S.A.;835;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Industria manufacturera;593;Sulfatos;1641,042059;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Llanquihue;18.0;5429818.0;667378.0
LOTA PROTEIN S A;LOTA PROTEIN S.A.;5441924;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;197;Sólidos suspendidos totales;1629,781802;2017;DS90/2000 del MINSEGPRES;Biobío;Concepción;Lota;18.0;5892531.0;663777.0
EMPRESA ELECTRICA ANGAMOS S.A.;CENTRAL TERMOELÉCTRICA ANGAMOS;5452292;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;51;Sólidos suspendidos totales;1627,73952;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7448232.0;359788.0
ARIDOS PETROMIN S.A.;ARIDOS PETROMIN;5460477;EXTRACCIÓN DE PIEDRA, ARENA Y ARCILLA;Combustibles;616;Sólidos suspendidos totales;1614,799309;2017;DS90/2000 del MINSEGPRES;Los Lagos;Llanquihue;Puerto Varas;18.0;5418117.0;669436.0
E.CL S.A.;CENTRAL TÉRMICA MEJILLONES;5441785;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;53;Sólidos suspendidos totales;1608,1824;2017;DS90/2000 del MINSEGPRES;Antofagasta;Antofagasta;Mejillones;19.0;7445882.0;355392.0
SALMONES ANTARTICA S A;PISCICULTURA LOS TAMBORES;5442669;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;525;Cloruros;1571,055369;2017;DS90/2000 del MINSEGPRES;Los Ríos;Ranco;Río Bueno;18.0;5533693.0;671304.0
PISCICOLA HORNOPIREN S A;PISCICULTURA LOS ARRAYANES;4587862;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;622;Cloruros;1560,153242;2017;DS90/2000 del MINSEGPRES;Los Lagos;Palena;Hualaihué;18.0;5354749.0;709214.0
COOKE AQUACULTURE CHILE SA;PISCICULTURA LOS RIOS 90149;5464274;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;850;Cloruros;1549,683388;2017;DS90/2000 del MINSEGPRES;Araucanía;Cautín;Villarrica;18.0;5650812.0;736801.0
EMPRESA ELECTRICA CAMPICHE S.A.;CENTRAL TERMOELECTRICA CAMPICHE;4917485;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;237;Sólidos suspendidos totales;1498,86;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373428.0;267720.0
EMPRESA ELECTRICA VENTANAS S.A;CENTRAL TERMOELÉCTRICA NUEVA VENTANAS;309729;GENERACIÓN, CAPTACIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA;Generación de energía;82;Sólidos suspendidos totales;1427,58;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Puchuncaví;19.0;6373430.0;267716.0
EXPORTADORA LOS FIORDOS LIMITADA;PISCICULTURA CURARREHUE;5442607;ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO;Pesca;492;Cloruros;1425,058154;2017;DS90/2000 del MINSEGPRES;Araucanía;Cautín;Curarrehue;19.0;5637934.0;268573.0
